13:55:06,30,1,30,21.0
13:55:08,30,1,30,21.0
13:55:10,30,1,30,21.0
13:55:12,30,1,30,21.0
13:55:14,30,1,30,21.0
13:55:16,30,1,30,21.0
13:55:18,30,1,30,21.0
13:55:20,30,1,30,21.0
13:55:22,30,1,30,21.0
13:55:24,30,1,30,21.0
13:55:26,30,1,30,21.0
13:55:28,30,1,30,21.0
13:55:30,30,1,30,21.0
13:55:32,30,1,30,21.0
13:55:34,30,1,30,21.0
13:55:36,30,1,30,21.0
13:55:38,30,1,30,21.0
13:55:40,30,1,30,21.0
13:55:42,30,1,30,21.0
13:55:44,30,1,30,21.0
13:55:46,30,1,30,21.0
13:55:48,30,1,30,21.0
13:55:50,30,1,30,21.0
13:55:52,30,1,30,21.0
13:55:54,30,1,30,21.0
13:55:56,30,1,30,21.0
13:55:58,30,1,30,21.0
13:56:00,30,1,30,21.0
13:56:02,30,1,30,21.0
13:56:04,30,1,30,21.0
13:56:06,30,1,30,21.0
13:56:08,30,1,30,21.0
13:56:10,30,1,30,21.0
13:56:12,30,1,30,21.0
13:56:14,30,1,30,21.0
13:56:16,30,1,30,21.0
